STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,TOTAL,2004,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469
GUJARAT,AHMEDABAD COMMR.,2005,76,49,4,35,0,35,219,136,83,23,3,159,825,5359,2264,3095,150,267,344,9,6,1361,1,54,26,745,0,188,7565,17468
GUJARAT,AHMEDABAD RURAL,2005,28,7,2,7,0,7,29,26,3,9,1,29,94,242,59,183,48,38,9,8,5,310,0,15,0,72,0,279,1693,2925
GUJARAT,AHWA-DANG,2005,5,1,0,5,0,5,0,0,0,0,0,1,2,3,1,2,3,4,2,1,0,30,0,5,0,5,0,17,62,146
GUJARAT,AMRELI,2005,24,14,1,11,0,11,49,47,2,3,0,18,127,186,49,137,28,31,10,16,15,286,2,18,1,127,0,97,2514,3578
GUJARAT,ANAND,2005,20,7,1,7,0,7,24,20,4,8,0,17,119,320,146,174,20,68,19,8,9,333,1,28,2,97,0,182,1787,3077
GUJARAT,BHARUCH,2005,35,10,1,8,0,8,23,15,8,8,0,14,139,323,123,200,29,56,9,10,12,335,0,16,5,46,0,211,1398,2688
GUJARAT,BHAVNAGAR,2005,66,31,0,14,0,14,85,70,15,30,0,164,398,1116,345,771,190,91,155,46,41,93,3,79,33,216,0,3,4732,7586
GUJARAT,DAHOD,2005,48,13,1,9,0,9,29,26,3,20,2,26,77,128,72,56,54,10,3,4,14,279,0,28,0,28,0,0,750,1523
GUJARAT,GANDHINAGAR,2005,20,6,0,9,0,9,29,20,9,5,0,23,124,395,152,243,19,12,37,9,16,237,4,8,4,101,0,151,1437,2646
GUJARAT,HIMATNAGAR,2005,26,12,2,12,0,12,32,31,1,15,0,20,145,222,70,152,60,47,25,28,16,349,0,42,0,147,0,237,2943,4380
GUJARAT,JAMNAGAR,2005,41,19,1,14,0,14,20,15,5,1,0,14,152,402,140,262,45,48,26,16,11,366,0,15,3,188,0,4,2496,3882
GUJARAT,JUNAGADH,2005,33,27,0,13,0,13,38,32,6,6,0,43,225,469,182,287,67,68,37,35,17,487,5,54,9,421,0,210,3522,5786
GUJARAT,KHEDA NORTH,2005,30,8,1,14,0,14,30,29,1,7,0,18,114,336,96,240,42,33,19,15,8,316,0,39,0,155,0,216,2596,3997
GUJARAT,KUTCH,2005,35,23,0,9,0,9,45,36,9,9,0,33,233,411,176,235,61,34,72,15,9,424,4,42,2,234,0,260,2466,4421
GUJARAT,MEHSANA,2005,30,21,1,6,0,6,55,47,8,19,1,55,258,599,104,495,71,48,70,14,10,488,1,25,0,221,0,151,2648,4792
GUJARAT,NARMADA,2005,15,2,0,6,0,6,1,1,0,4,0,2,26,30,4,26,19,5,1,0,3,92,0,2,0,4,0,36,801,1049
GUJARAT,NAVSARI,2005,14,3,0,6,0,6,6,5,1,4,0,7,52,95,52,43,5,19,12,11,1,83,2,3,0,31,0,0,892,1246
GUJARAT,PALANPUR,2005,40,24,1,11,0,11,23,21,2,11,0,20,192,306,65,241,34,12,39,14,14,980,1,26,0,79,0,184,1834,3845
GUJARAT,PANCHMAHAL,2005,50,6,0,12,0,12,32,28,4,5,0,23,135,251,92,159,28,39,14,7,16,204,1,75,3,86,0,0,2272,3259
GUJARAT,PATAN,2005,24,13,1,6,0,6,22,19,3,6,0,13,84,303,50,253,38,27,5,10,23,305,0,24,0,111,0,95,1536,2646
GUJARAT,PORBANDAR,2005,10,8,0,1,0,1,9,8,1,0,0,13,48,61,26,35,7,11,7,7,6,128,1,5,0,36,0,58,670,1086
GUJARAT,RAJKOT COMMR.,2005,24,12,0,7,0,7,37,33,4,7,0,31,265,989,529,460,64,39,47,43,5,333,0,7,7,153,0,93,1771,3934
GUJARAT,RAJKOT RURAL,2005,35,32,4,18,0,18,56,48,8,6,0,27,185,369,99,270,76,135,29,15,20,443,4,39,1,278,0,220,2817,4809
GUJARAT,SURAT COMMR.,2005,86,23,3,23,0,23,114,72,42,22,4,56,429,1797,1140,657,118,65,202,31,8,637,12,50,4,190,0,404,995,5273
GUJARAT,SURAT RURAL,2005,46,9,2,9,0,9,14,14,0,12,0,17,92,181,64,117,27,14,26,13,8,198,5,4,0,23,0,334,1212,2246
GUJARAT,SURENDRANAGAR,2005,30,21,0,13,0,13,38,31,7,8,0,23,126,305,71,234,77,40,8,22,7,494,0,36,1,90,0,151,2036,3526
GUJARAT,VADODARA COMMR.,2005,26,24,1,5,0,5,39,26,13,6,2,20,392,1341,689,652,174,34,192,16,6,300,0,13,2,136,0,122,2425,5276
GUJARAT,VADODARA RURAL,2005,70,13,0,21,0,21,37,36,1,9,0,16,105,166,56,110,40,38,15,12,12,339,0,25,0,38,0,213,1854,3023
GUJARAT,VALSAD,2005,34,13,0,11,0,11,25,20,5,17,0,17,153,319,121,198,29,24,38,10,2,241,1,17,0,31,0,0,712,1694
GUJARAT,W.RLY,2005,12,1,0,2,0,2,4,4,0,2,2,47,16,940,46,894,5,13,69,2,0,32,0,8,1,1,0,4,446,1607
GUJARAT,TOTAL,2005,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414
GUJARAT,AHMEDABAD COMMR.,2006,99,60,7,46,0,46,182,146,36,23,3,172,802,5388,2317,3071,128,266,297,10,5,1371,4,72,22,956,0,227,9098,19238
GUJARAT,AHMEDABAD RURAL,2006,47,4,1,10,0,10,28,27,1,9,1,28,82,273,55,218,39,40,14,2,15,285,0,31,0,92,0,292,1727,3020
GUJARAT,AHWA-DANG,2006,7,1,0,3,0,3,0,0,0,2,0,1,2,16,0,16,11,0,1,0,2,22,0,6,0,11,0,16,179,280
GUJARAT,AMRELI,2006,20,11,3,15,0,15,31,30,1,2,0,14,109,169,39,130,30,17,17,10,7,312,3,20,0,112,0,96,1434,2432
GUJARAT,ANAND,2006,26,6,1,14,0,14,33,30,3,7,0,11,114,367,148,219,13,62,12,6,14,295,0,30,5,141,0,203,1693,3053
GUJARAT,BHARUCH,2006,37,9,1,7,0,7,7,6,1,10,0,8,121,312,107,205,18,49,13,6,15,269,0,8,0,66,0,210,1452,2618
GUJARAT,BHAVNAGAR,2006,59,40,1,26,0,26,128,116,12,47,0,170,457,1347,331,1016,155,101,188,23,30,99,7,101,61,285,0,7,5125,8457
GUJARAT,DAHOD,2006,30,18,0,0,0,0,21,19,2,15,1,23,50,82,37,45,27,6,8,1,14,188,0,11,0,39,0,0,1191,1725
GUJARAT,GANDHINAGAR,2006,23,13,0,14,0,14,24,20,4,6,0,17,102,403,129,274,39,5,36,10,6,234,0,17,6,119,0,187,1580,2841
GUJARAT,HIMATNAGAR,2006,35,4,2,11,0,11,32,32,0,6,1,13,115,211,53,158,41,29,26,4,12,235,0,25,0,151,0,236,5336,6525
GUJARAT,JAMNAGAR,2006,29,11,0,13,0,13,21,18,3,5,0,22,180,361,152,209,37,22,23,5,11,386,0,14,11,206,0,4,2542,3903
GUJARAT,JUNAGADH,2006,54,19,0,6,0,6,52,44,8,15,0,34,185,470,143,327,80,60,33,13,12,495,3,38,4,415,0,199,2496,4683
GUJARAT,KHEDA NORTH,2006,37,9,0,17,0,17,36,34,2,12,0,9,148,333,86,247,47,34,45,5,12,315,0,22,0,204,0,226,3039,4550
GUJARAT,KUTCH,2006,39,23,0,19,0,19,52,41,11,18,0,55,315,532,193,339,63,56,48,3,18,405,3,37,0,343,0,271,3707,6007
GUJARAT,MEHSANA,2006,24,22,0,6,0,6,41,36,5,14,0,52,274,617,115,502,76,36,70,4,12,491,3,28,0,219,0,149,2511,4649
GUJARAT,NARMADA,2006,11,8,0,2,0,2,6,6,0,2,0,1,25,30,10,20,10,4,3,1,4,100,0,6,0,10,0,47,373,643
GUJARAT,NAVSARI,2006,16,6,0,2,0,2,8,7,1,2,0,5,76,106,50,56,17,32,12,3,2,68,0,4,0,38,0,0,780,1177
GUJARAT,PALANPUR,2006,42,18,0,22,0,22,37,35,2,7,0,21,150,419,39,380,54,28,15,4,11,1292,1,43,0,188,0,180,2486,5018
GUJARAT,PANCHMAHAL,2006,62,13,0,6,0,6,44,42,2,5,0,19,115,205,81,124,37,27,24,2,20,300,0,24,0,101,0,0,2417,3421
GUJARAT,PATAN,2006,14,9,1,10,0,10,13,11,2,9,0,6,103,394,52,342,54,23,16,1,6,311,0,25,0,147,0,84,1453,2679
GUJARAT,PORBANDAR,2006,9,5,0,2,0,2,7,6,1,0,0,6,42,74,20,54,5,8,6,2,3,112,1,1,0,45,0,45,581,954
GUJARAT,RAJKOT COMMR.,2006,29,15,0,4,0,4,26,18,8,1,0,26,260,718,424,294,46,12,39,18,3,369,1,5,12,165,0,94,1646,3489
GUJARAT,RAJKOT RURAL,2006,42,20,3,21,0,21,37,33,4,10,0,31,259,387,129,258,41,106,17,10,16,427,1,34,5,300,0,298,2102,4167
GUJARAT,SURAT COMMR.,2006,103,30,1,31,0,31,130,86,44,15,2,72,500,2206,1457,749,145,55,258,24,10,759,22,46,6,249,0,336,3659,8659
GUJARAT,SURAT RURAL,2006,71,7,0,11,0,11,11,8,3,9,2,15,75,170,78,92,21,19,21,0,6,275,0,11,0,40,0,385,1217,2366
GUJARAT,SURENDRANAGAR,2006,30,15,0,17,0,17,23,20,3,6,0,20,118,259,54,205,55,47,8,3,6,381,1,34,2,81,0,191,1451,2748
GUJARAT,VADODARA COMMR.,2006,32,34,2,6,0,6,54,42,12,8,0,35,482,1319,678,641,147,30,199,14,31,316,0,17,2,181,0,134,2629,5672
GUJARAT,VADODARA RURAL,2006,82,19,0,10,0,10,20,16,4,7,0,13,81,171,49,122,37,40,14,2,14,354,0,10,1,39,0,216,1486,2616
GUJARAT,VALSAD,2006,43,17,0,1,0,1,18,12,6,14,2,13,167,268,120,148,41,28,22,10,4,173,0,10,0,32,0,0,1203,2066
GUJARAT,W.RLY,2006,13,5,1,2,0,2,6,4,2,4,0,58,21,868,42,826,20,4,44,0,0,46,0,6,1,2,0,6,209,1316
GUJARAT,TOTAL,2006,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972
GUJARAT,AHMEDABAD COMMR.,2007,100,44,2,37,0,37,213,147,66,13,3,417,677,4302,2316,1986,133,188,204,9,0,1421,4,104,13,1221,0,252,7953,17310
GUJARAT,AHMEDABAD RURAL,2007,30,16,1,6,0,6,48,46,2,7,0,38,133,434,98,336,61,45,9,4,17,316,0,22,0,172,0,339,2308,4006
GUJARAT,AHWA-DANG,2007,8,2,0,5,0,5,0,0,0,0,0,2,6,11,3,8,5,2,1,1,1,17,0,5,0,7,0,31,188,292
GUJARAT,AMRELI,2007,30,13,0,7,0,7,49,49,0,3,0,11,98,172,61,111,62,34,6,11,6,295,0,20,0,162,0,104,1225,2308
GUJARAT,ANAND,2007,26,7,3,10,0,10,59,53,6,9,1,21,161,589,241,348,33,77,12,11,15,386,0,22,2,170,0,244,2061,3919
GUJARAT,BHARUCH,2007,38,10,0,8,0,8,15,14,1,6,0,11,112,277,118,159,29,43,7,8,8,219,0,18,4,68,0,284,1373,2538
GUJARAT,BHAVNAGAR,2007,43,37,0,18,0,18,104,90,14,12,0,76,338,879,258,621,156,61,61,29,30,116,1,94,35,280,0,6,3671,6047
GUJARAT,DAHOD,2007,40,14,1,8,0,8,35,32,3,26,1,56,53,176,77,99,66,2,4,6,18,298,0,25,1,56,0,0,836,1722
GUJARAT,GANDHINAGAR,2007,19,12,0,12,0,12,24,17,7,5,0,21,129,434,191,243,39,6,46,9,3,220,1,17,2,170,0,195,1606,2970
GUJARAT,HIMATNAGAR,2007,46,12,1,5,0,5,35,34,1,6,0,9,132,234,71,163,46,51,20,10,7,259,0,33,0,197,0,271,4667,6041
GUJARAT,JAMNAGAR,2007,41,34,2,11,0,11,22,21,1,5,0,23,182,404,167,237,64,37,23,12,27,367,0,15,4,245,0,3,5457,6978
GUJARAT,JUNAGADH,2007,46,15,0,13,0,13,56,46,10,5,0,43,175,545,186,359,64,52,24,17,21,522,1,42,11,419,0,206,2587,4864
GUJARAT,KHEDA NORTH,2007,43,7,1,10,0,10,35,34,1,6,0,8,138,393,88,305,49,39,33,9,17,387,0,31,0,154,0,260,3449,5069
GUJARAT,KUTCH,2007,49,22,1,10,0,10,36,27,9,13,0,34,316,578,210,368,60,28,44,9,8,400,2,20,4,255,0,310,3029,5228
GUJARAT,MEHSANA,2007,31,24,1,6,0,6,50,45,5,10,0,27,245,699,189,510,93,28,39,9,13,601,2,23,0,276,0,165,2582,4924
GUJARAT,NARMADA,2007,15,2,0,6,0,6,4,4,0,0,0,1,11,31,7,24,5,6,3,0,7,115,0,8,0,13,0,42,553,822
GUJARAT,NAVSARI,2007,26,5,0,2,0,2,14,11,3,9,0,6,45,100,51,49,10,13,4,6,1,45,0,3,0,23,0,0,682,994
GUJARAT,PALANPUR,2007,45,30,0,19,0,19,55,51,4,4,0,31,186,456,101,355,81,30,23,5,22,1187,2,65,0,256,0,156,2140,4793
GUJARAT,PANCHMAHAL,2007,55,15,0,16,0,16,44,42,2,22,0,20,98,216,77,139,29,37,25,5,15,258,0,33,0,124,0,0,2661,3673
GUJARAT,PATAN,2007,18,14,1,6,0,6,43,41,2,4,0,16,107,434,82,352,59,24,23,6,14,412,0,33,0,178,0,126,1456,2974
GUJARAT,PORBANDAR,2007,6,2,3,1,0,1,8,7,1,0,0,4,32,64,18,46,11,10,13,4,4,88,0,4,0,59,0,46,565,924
GUJARAT,RAJKOT COMMR.,2007,37,16,0,4,0,4,46,36,10,2,0,32,203,846,436,410,57,22,45,26,19,344,3,17,22,240,0,112,1819,3912
GUJARAT,RAJKOT RURAL,2007,32,21,1,25,0,25,58,51,7,14,0,32,164,376,122,254,65,70,10,9,7,423,4,26,1,234,0,293,2129,3994
GUJARAT,SURAT COMMR.,2007,108,31,3,24,0,24,117,80,37,15,1,42,447,2423,1587,836,111,57,182,25,6,848,21,44,8,332,0,357,5784,10986
GUJARAT,SURAT RURAL,2007,57,13,0,4,0,4,18,6,12,10,3,11,68,182,87,95,36,19,14,10,10,158,1,5,0,37,0,408,543,1607
GUJARAT,SURENDRANAGAR,2007,22,16,0,17,0,17,29,28,1,8,1,19,89,270,71,199,65,70,13,11,7,430,0,48,5,119,0,196,1785,3220
GUJARAT,VADODARA COMMR.,2007,24,22,0,8,0,8,47,37,10,9,0,25,359,1403,831,572,119,34,152,10,6,306,0,11,8,268,0,118,2180,5109
GUJARAT,VADODARA RURAL,2007,76,21,0,10,0,10,39,37,2,6,0,13,46,192,85,107,34,23,12,8,15,318,0,21,0,63,0,304,1657,2858
GUJARAT,VALSAD,2007,39,11,0,8,0,8,5,2,3,8,0,11,99,233,115,118,21,26,23,6,5,158,0,6,0,25,0,0,1170,1854
GUJARAT,W.RLY,2007,16,6,0,0,0,0,4,1,3,8,0,35,21,811,78,733,5,5,41,1,1,75,0,7,0,4,0,3,216,1259
GUJARAT,TOTAL,2007,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195
GUJARAT,AHMEDABAD COMMR.,2008,85,60,0,44,0,44,172,137,35,14,2,538,778,5485,3239,2246,168,223,200,14,1,1335,1,78,19,1185,0,242,7900,18544
GUJARAT,AHMEDABAD RURAL,2008,36,20,0,3,0,3,36,35,1,14,1,37,114,354,124,230,61,45,9,3,9,236,1,16,0,67,0,321,2021,3404
GUJARAT,AHWA-DANG,2008,7,2,0,3,0,3,2,2,0,0,0,0,2,13,4,9,2,2,2,0,0,27,0,2,0,11,0,13,143,231
GUJARAT,AMRELI,2008,22,6,1,8,0,8,60,58,2,0,1,6,127,218,69,149,34,50,8,6,10,305,0,31,3,128,0,133,1234,2391
GUJARAT,ANAND,2008,40,10,2,11,0,11,51,45,6,12,0,16,121,508,172,336,39,64,10,7,14,342,0,25,2,170,0,224,2126,3794
GUJARAT,BHARUCH,2008,36,15,1,13,0,13,34,29,5,13,0,22,157,371,121,250,51,76,14,4,41,218,0,13,2,114,0,280,1600,3075
GUJARAT,BHAVNAGAR,2008,35,33,3,9,0,9,90,80,10,11,0,52,224,857,328,529,134,40,73,11,13,132,0,69,51,197,0,0,3824,5858
GUJARAT,DAHOD,2008,44,21,3,13,0,13,43,40,3,33,1,55,98,167,89,78,61,8,4,1,31,347,0,33,0,63,0,0,782,1808
GUJARAT,GANDHINAGAR,2008,32,12,0,8,0,8,44,35,9,6,0,34,150,606,250,356,42,19,40,9,6,271,3,18,2,200,0,211,3095,4808
GUJARAT,HIMATNAGAR,2008,38,13,1,16,0,16,37,34,3,11,0,19,83,206,71,135,64,31,33,12,17,209,0,22,0,217,0,266,3592,4887
GUJARAT,JAMNAGAR,2008,34,12,3,17,0,17,30,25,5,14,0,22,150,410,162,248,79,22,27,4,15,422,0,14,1,239,0,7,3810,5332
GUJARAT,JUNAGADH,2008,33,20,0,5,0,5,48,43,5,13,0,49,221,719,268,451,79,84,46,7,25,463,3,66,3,456,0,186,2762,5288
GUJARAT,KHEDA NORTH,2008,36,11,0,8,0,8,41,39,2,5,0,13,114,393,81,312,39,25,35,9,23,383,0,40,0,219,0,247,3624,5265
GUJARAT,KUTCH,2008,40,8,1,16,0,16,44,42,2,4,1,34,297,656,254,402,73,35,52,7,14,418,1,26,6,334,0,295,2579,4941
GUJARAT,MEHSANA,2008,29,18,1,9,0,9,54,48,6,10,0,33,211,652,215,437,84,49,34,6,9,838,0,33,1,289,0,185,2059,4604
GUJARAT,NARMADA,2008,11,3,5,7,0,7,7,7,0,0,0,1,18,38,13,25,7,2,3,2,4,118,0,8,1,12,0,63,500,810
GUJARAT,NAVSARI,2008,25,3,1,2,0,2,9,4,5,0,0,5,26,84,46,38,10,14,5,4,3,35,0,1,1,5,0,0,762,995
GUJARAT,PALANPUR,2008,42,16,1,37,0,37,43,43,0,9,0,31,206,413,137,276,67,18,35,6,23,1109,1,34,0,201,0,174,1641,4107
GUJARAT,PANCHMAHAL,2008,40,13,1,8,0,8,55,53,2,3,0,13,99,208,84,124,29,34,25,0,27,303,0,29,2,148,0,0,2286,3323
GUJARAT,PATAN,2008,14,15,0,19,0,19,29,24,5,4,0,18,102,371,71,300,54,17,20,6,5,350,0,29,0,157,0,118,1620,2948
GUJARAT,PORBANDAR,2008,7,6,0,3,0,3,12,11,1,0,0,6,38,89,22,67,10,4,11,2,6,82,0,5,0,48,0,69,616,1014
GUJARAT,RAJKOT COMMR.,2008,37,33,1,12,0,12,54,40,14,9,0,68,320,1394,784,610,140,71,85,14,12,417,1,30,19,312,0,128,2368,5525
GUJARAT,RAJKOT RURAL,2008,45,16,2,24,0,24,47,42,5,13,0,26,156,425,190,235,62,42,12,4,12,334,4,45,2,293,0,293,2013,3870
GUJARAT,SURAT COMMR.,2008,97,42,3,28,0,28,131,79,52,24,4,146,544,3049,1939,1110,165,39,178,29,10,856,11,54,2,472,0,382,4475,10741
GUJARAT,SURAT RURAL,2008,43,4,1,3,0,3,11,5,6,5,2,9,39,122,56,66,10,17,19,3,4,78,0,7,0,30,0,300,882,1589
GUJARAT,SURENDRANAGAR,2008,35,15,0,21,0,21,44,38,6,3,0,12,80,195,66,129,44,38,17,2,6,382,0,50,1,133,0,236,1643,2957
GUJARAT,TAPI,2008,21,5,0,3,0,3,3,2,1,3,0,3,19,42,20,22,8,5,0,3,0,50,0,2,0,6,0,98,331,602
GUJARAT,VADODARA COMMR.,2008,20,32,3,7,0,7,34,30,4,9,2,23,366,1415,827,588,123,20,119,6,5,283,0,16,3,268,0,159,2473,5386
GUJARAT,VADODARA RURAL,2008,79,17,1,11,0,11,39,37,2,6,0,10,53,191,76,115,31,44,6,5,16,345,0,21,0,87,0,296,1497,2755
GUJARAT,VALSAD,2008,33,5,0,4,0,4,15,9,6,4,0,8,119,229,121,108,36,28,43,4,2,138,0,6,0,32,0,0,1094,1800
GUJARAT,W.RLY,2008,10,1,0,2,0,2,4,3,1,4,0,13,21,835,48,787,3,1,2,0,0,71,1,5,1,1,0,8,173,1156
GUJARAT,TOTAL,2008,1106,487,35,374,0,374,1323,1119,204,256,14,1322,5053,20715,9947,10768,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,123808
GUJARAT,AHMEDABAD COMMR.,2009,83,50,7,63,0,63,181,132,49,16,2,844,751,6283,4232,2051,178,224,205,16,6,1165,5,74,18,1169,0,205,9181,20726
GUJARAT,AHMEDABAD RURAL,2009,19,19,1,9,0,9,50,38,12,13,1,37,125,382,162,220,46,76,15,4,8,238,1,17,0,131,0,319,1730,3241
GUJARAT,AHWA-DANG,2009,5,1,0,3,0,3,0,0,0,0,0,0,5,2,0,2,1,2,0,1,3,10,0,2,0,4,0,19,95,153
