Area_Name,Year,Group_Name,Sub_Group_Name,Loss_of_Property_1_10_Crores,Loss_of_Property_10_25_Crores,Loss_of_Property_25_50_Crores,Loss_of_Property_50_100_Crores,Loss_of_Property_Above_100_Crores
Gujarat,2001,Serious Fraud - Cheating,2. Cheating ,14,0,1,1,0
Gujarat,2002,Serious Fraud - Cheating,2. Cheating ,10,1,0,1,1
Gujarat,2003,Serious Fraud - Cheating,2. Cheating ,10,0,0,0,0
Gujarat,2004,Serious Fraud - Cheating,2. Cheating ,31,1,0,0,0
Gujarat,2005,Serious Fraud - Cheating,2. Cheating ,19,1,0,0,0
Gujarat,2006,Serious Fraud - Cheating,2. Cheating ,22,0,0,0,0
Gujarat,2007,Serious Fraud - Cheating,2. Cheating ,11,1,0,0,0
Gujarat,2008,Serious Fraud - Cheating,2. Cheating ,28,0,0,0,0
Gujarat,2009,Serious Fraud - Cheating,2. Cheating ,9,0,0,0,0
Gujarat,2010,Serious Fraud - Cheating,2. Cheating ,10,0,1,1,1
Gujarat,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4,1,0,0,0
Gujarat,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,1,0,2,1
Gujarat,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,1,1,0,0
Gujarat,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,5,0,1,0,0
Gujarat,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,0,0,0,0
Gujarat,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,16,0,0,0,0
Gujarat,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6,0,0,0,0
Gujarat,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,58,0,0,0,0
Gujarat,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,15,0,0,0,0
Gujarat,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,9,0,0,0,0